EventID,DateTime,Evla,Evlo,Depth,Mag
0,19900101001250,37.31766666666667,139.9513333333333,0.64,1.9
1,19900101002639,34.80133333333333,137.61700000000002,2.8000000000000003,1.4
2,19900101031102,41.467333333333336,142.817,0.35000000000000003,2.7
3,19900101042557,35.23333333333333,137.63483333333332,1.43,1.3
4,19900101043244,34.350500000000004,140.26733333333334,0.51,2.3000000000000003
5,19900101052331,34.268,135.1505,0.22,1.2000000000000002
6,19900101054127,40.23416666666667,145.11816666666667,0.32,3.8
7,19900101062949,43.9335,147.71666666666667,0.25,5.2
8,19900101070304,43.917,147.6338333333333,0.11,4.3
9,19900101071615,42.333833333333345,144.75033333333334,0.26,3.4000000000000004
10,19900101072057,32.00066666666667,131.06783333333334,9.15,2.9000000000000004
11,19900101104932,39.9005,141.41683333333333,7.84,2.4000000000000004
12,19900101111316,34.934666666666665,139.1675,1.6,0.8
13,19900101111906,42.351333333333336,144.75083333333333,0.79,2.6
14,19900101115151,34.1515,140.85033333333334,0.49,2.6
15,19900101130421,39.917666666666655,142.36666666666667,3.88,2.4000000000000004
16,19900101153933,30.851333333333336,131.317,0.34,2.4000000000000004
17,19900101161411,36.717666666666666,141.28433333333334,3.61,2.2
19,19900101180037,33.60116666666667,141.31816666666666,0.63,2.5
20,19900101180313,36.466833333333334,140.5836666666667,5.53,4.5
23,19900101201553,36.65016666666666,139.3015,1.26,1.2000000000000002
24,19900101203253,34.16766666666666,135.08350000000002,1.07,2.1
26,19900101210642,24.65083333333333,127.33416666666666,0.43,2.8000000000000003
27,19900101213124,35.0335,138.11683333333335,3.44,1.9
28,19900101215625,34.10083333333333,135.06816666666666,1.17,1.8
30,19900101225711,43.88416666666666,148.20033333333333,0.34,4.800000000000002
32,19900102002325,25.76733333333333,126.28333333333332,0.68,3.1
33,19900102002512,34.017833333333336,135.23433333333332,0.45,1.5
35,19900102013728,35.483833333333344,139.7515,2.37,1.1
36,19900102014214,35.151,137.1835,3.5,1.1
37,19900102021237,36.23466666666667,139.28383333333332,7.61,0.8
38,19900102025642,27.15,140.66733333333332,4.26,4.0
39,19900102025802,34.81683333333333,136.68433333333334,0.71,1.7000000000000002
40,19900102030234,35.18333333333333,136.53333333333333,1.12,2.1
41,19900102032237,34.13383333333333,135.06683333333334,1.31,1.6
42,19900102045014,33.868,137.00116666666668,3.61,2.8000000000000003
43,19900102052429,34.9835,139.11766666666668,0.42,0.30000000000000004
45,19900102054419,34.8835,132.23333333333332,0.13,2.1
46,19900102084829,35.550166666666655,139.98399999999998,0.31,1.6
47,19900102085250,39.800666666666665,143.71683333333334,0.0,3.0
49,19900102103704,35.201333333333345,137.66799999999998,1.39,1.2000000000000002
50,19900102103849,34.20133333333334,140.20033333333333,0.8300000000000001,2.1
51,19900102114424,31.53466666666667,130.18366666666668,0.15,1.7000000000000002
52,19900102122043,34.55116666666667,137.2505,3.3200000000000003,1.7000000000000002
53,19900102125650,36.018166666666666,139.31733333333332,11.21,1.8
