EventID,DateTime,Evla,Evlo,Depth,Mag
0,19940101001745,42.2,144.034,0.32,2.1
2,19940101004330,32.734,130.2835,0.14,1.7000000000000002
4,19940101023257,33.43366666666666,138.33483333333334,33.63,3.6
5,19940101030210,41.98416666666667,142.53483333333332,6.42,3.9
6,19940101035522,32.717333333333336,130.26783333333336,0.0,2.4000000000000004
7,19940101044703,36.35,137.61816666666667,0.72,3.6
8,19940101045040,36.3515,137.6345,0.94,2.2
9,19940101052218,36.33416666666667,137.65,0.51,4.6000000000000005
11,19940101053157,36.367833333333344,137.61716666666666,0.09,0.9
12,19940101053603,36.36683333333333,137.61766666666668,0.12,1.5
13,19940101054811,32.73383333333334,130.284,0.0,2.1
14,19940101062908,45.65083333333333,152.05033333333338,0.12,4.6000000000000005
15,19940101065247,36.35033333333333,137.61783333333335,1.21,1.7000000000000002
16,19940101071513,36.35033333333333,137.634,0.05,1.0
17,19940101083558,42.684166666666655,139.35066666666665,2.09,2.5
18,19940101092355,36.333833333333345,137.63333333333333,0.78,2.9000000000000004
19,19940101092421,36.35033333333333,137.63366666666667,1.09,2.1
20,19940101092537,37.001333333333335,138.18466666666666,0.32,1.7000000000000002
21,19940101103532,36.63483333333333,136.95149999999998,0.11,1.8
22,19940101105355,32.784,130.26733333333334,0.0,2.4000000000000004
23,19940101105437,36.36666666666667,137.6338333333333,0.81,1.8
24,19940101110626,38.967833333333346,142.48333333333332,3.92,1.7000000000000002
25,19940101111254,34.50066666666667,136.85049999999998,2.19,1.7000000000000002
26,19940101114437,42.46666666666667,139.1015,0.15,2.9000000000000004
27,19940101123802,32.018,130.61683333333335,0.44,2.2
29,19940101134855,36.6015,138.08433333333335,20.32,3.1
31,19940101142029,32.718,130.30066666666667,0.15,2.3000000000000003
32,19940101143625,36.61716666666667,141.33416666666668,0.43,1.9
33,19940101144258,40.83466666666667,141.9175,6.49,3.6
34,19940101145327,35.48483333333333,139.70033333333333,3.21,0.8
35,19940101153341,35.0005,139.40066666666667,2.87,1.5
36,19940101154549,36.284666666666666,141.43433333333334,0.4,1.8
37,19940101163217,35.78383333333333,137.55016666666668,1.15,1.6
38,19940101163240,35.768166666666666,137.55,1.4,1.4
39,19940101170502,35.91716666666667,140.81799999999996,2.18,1.7000000000000002
40,19940101171847,36.88433333333333,140.60033333333334,7.21,1.8
41,19940101173559,32.750166666666665,130.2675,0.0,2.6
42,19940101174621,24.968166666666665,122.03483333333332,0.41,2.8000000000000003
43,19940101175557,34.900666666666666,141.33483333333334,0.38,1.5
44,19940101182325,35.68483333333333,140.78333333333333,5.43,1.4
45,19940101184734,36.35116666666667,137.6335,0.8200000000000001,1.4
46,19940101192336,36.367,137.63366666666667,0.08,1.6
47,19940101192429,35.85016666666667,137.5505,0.12,0.2
48,19940101193718,35.7835,137.55133333333333,1.45,2.9000000000000004
49,19940101200256,41.93366666666665,142.23416666666662,5.21,3.2
50,19940101200318,32.75133333333333,130.25083333333333,0.0,2.4000000000000004
51,19940101200533,40.6015,142.81766666666667,0.1,2.2
52,19940101205813,31.8505,131.91683333333333,0.39,2.3000000000000003
53,19940101210024,36.95016666666667,141.384,7.35,3.0
54,19940101210102,33.084833333333336,139.45083333333332,18.97,3.8
55,19940101223924,32.717666666666666,130.28483333333332,0.12,2.4000000000000004
56,19940101225326,36.50083333333333,140.0505,11.6,3.0
57,19940101230256,35.45033333333333,139.0015,2.25,0.4
58,19940101232538,42.61816666666667,139.21733333333333,3.45,2.5
59,19940101232650,36.35116666666667,137.66683333333333,0.43,1.7000000000000002
60,19940102002337,39.5675,141.684,6.49,2.2
61,19940102003734,35.85083333333333,137.51816666666667,1.08,1.2000000000000002
62,19940102010117,39.4675,140.93466666666666,1.22,1.7000000000000002
63,19940102010912,33.934666666666665,139.68333333333334,1.94,2.5
64,19940102015642,43.3845,147.4015,0.68,4.1000000000000005
65,19940102022113,38.5,142.56766666666667,0.0,1.8
66,19940102024315,34.183499999999995,135.45016666666666,6.84,1.3
67,19940102025751,32.76766666666666,130.25083333333333,0.0,2.8000000000000003
68,19940102025916,43.40066666666666,144.70066666666662,12.82,1.8
69,19940102032947,35.2015,136.50083333333333,0.8,1.7000000000000002
