EventID,DateTime,Evla,Evlo,Depth,Mag
0,19930101004151,39.001,142.50033333333334,4.11,1.2000000000000002
1,19930101005227,39.017,142.46733333333333,0.22,1.8
2,19930101011457,35.68483333333333,136.36816666666667,0.1,2.3000000000000003
3,19930101011738,31.13383333333333,130.284,13.1,1.9
4,19930101012650,35.98333333333333,137.55133333333333,1.35,1.5
5,19930101014327,32.084833333333336,131.23433333333332,6.33,1.6
6,19930101020253,34.31766666666667,135.48433333333332,0.33,1.9
8,19930101024246,38.9005,142.55100000000004,2.2,2.6
9,19930101033301,38.88483333333333,142.40133333333333,0.45,2.0
10,19930101034657,38.91666666666666,142.53383333333332,0.29,1.9
11,19930101034958,44.95016666666667,149.43366666666668,0.31,4.1000000000000005
12,19930101040034,38.95066666666667,142.50016666666667,0.35000000000000003,1.4
13,19930101040205,39.083333333333336,142.417,0.0,1.4
14,19930101040448,39.05083333333333,142.43366666666668,0.0,1.4
15,19930101043201,38.867833333333344,142.4845,0.24,1.4
16,19930101043349,38.90016666666666,142.4838333333333,0.38,1.8
17,19930101044129,38.93383333333333,142.51783333333339,0.37,1.5
18,19930101044344,39.01683333333333,142.48333333333332,0.22,1.9
19,19930101045119,38.9015,142.53333333333333,2.64,2.7
20,19930101045707,35.98466666666667,140.167,7.03,1.2000000000000002
23,19930101052213,39.03383333333333,142.43366666666668,0.28,1.4
24,19930101052643,38.90016666666666,142.56716666666662,0.35000000000000003,1.5
25,19930101052724,38.950833333333335,142.50116666666668,0.36,1.8
26,19930101054948,38.918,142.68383333333333,0.32,1.4
27,19930101055102,38.9015,142.51733333333334,0.36,1.9
28,19930101055447,38.98366666666666,142.4345,0.49,1.0
29,19930101055503,38.98366666666666,142.5335,2.31,2.7
30,19930101060957,38.9,142.55066666666667,2.35,2.9000000000000004
31,19930101061045,38.968,142.4005,0.49,2.1
32,19930101062726,38.95,142.53416666666666,0.22,2.1
33,19930101063556,38.91683333333333,142.50066666666666,0.3,2.2
34,19930101063951,38.967666666666666,142.56683333333334,1.34,1.4
35,19930101064019,38.901,142.50033333333334,0.42,1.5
36,19930101065917,39.03483333333333,142.53466666666662,0.11,1.9
37,19930101070108,38.917666666666655,142.58350000000004,0.24,2.2
38,19930101071049,39.03433333333333,142.46716666666666,2.89,2.1
39,19930101071525,38.917666666666655,142.5505,0.16,2.1
40,19930101071646,34.650666666666666,136.53333333333333,1.52,1.8
41,19930101072427,38.9515,142.46816666666666,0.36,2.1
42,19930101072557,38.8845,142.48416666666662,0.35000000000000003,2.0
43,19930101073621,35.718,141.1338333333333,0.37,2.4000000000000004
44,19930101074329,38.9,142.55066666666667,2.24,2.7
45,19930101080353,36.98366666666666,138.46816666666666,18.01,2.7
47,19930101080419,38.88466666666667,142.51700000000002,0.24,1.9
48,19930101080549,34.851,136.951,0.3,0.9
49,19930101081739,38.86666666666667,142.51666666666668,2.04,2.8000000000000003
50,19930101082650,39.00116666666667,142.5515,1.63,1.9
51,19930101083657,38.93483333333333,142.55133333333333,2.47,2.8000000000000003
52,19930101084714,38.967,142.55133333333333,2.61,2.7
53,19930101084750,38.95050000000001,142.50083333333333,0.21,2.9000000000000004
54,19930101084945,36.316833333333335,140.35116666666667,9.8,2.9000000000000004
55,19930101085307,39.001,142.58333333333334,2.19,2.7
56,19930101085310,35.017,136.66799999999998,0.25,1.5
57,19930101085751,36.634,139.4335,1.09,0.9
58,19930101090353,38.951333333333345,142.56716666666662,2.66,2.3000000000000003
59,19930101090445,38.934,142.53383333333332,2.29,2.8000000000000003
60,19930101092722,38.900666666666666,142.4345,0.22,2.0
61,19930101094059,36.634166666666665,139.48333333333332,1.09,1.0
62,19930101094830,39.001,142.53483333333332,1.21,2.1
63,19930101095741,38.96666666666667,142.53383333333332,1.53,2.3000000000000003
64,19930101100142,39.018166666666666,142.51816666666667,2.06,2.1
65,19930101101651,38.96716666666667,142.5511666666667,1.37,2.1
66,19930101103813,39.0,142.5175,1.69,2.3000000000000003
67,19930101103827,38.834,142.56733333333332,1.93,3.7
68,19930101110136,42.150666666666666,142.68433333333334,5.29,1.4
69,19930101110509,38.9845,142.60116666666667,0.92,2.1
70,19930101114147,38.934666666666665,142.5505,2.5500000000000003,2.6
72,19930101121823,33.86816666666667,138.53416666666666,2.5,2.5
73,19930101122000,38.868,142.55133333333333,2.04,2.7
74,19930101123405,39.01733333333333,142.50133333333332,1.65,1.5
75,19930101123953,38.95016666666667,142.51783333333339,0.23,3.6
76,19930101125025,38.868,142.51700000000002,2.16,3.5
77,19930101133925,38.93433333333333,142.53433333333334,2.26,3.3000000000000003
78,19930101135411,38.8835,142.51716666666667,0.28,1.5
79,19930101140544,41.4515,141.93416666666667,7.1000000000000005,3.5
80,19930101143329,38.867666666666665,142.61700000000005,0.19,1.8
81,19930101144600,38.918,142.501,1.9,2.6
82,19930101144817,31.31766666666667,130.384,16.16,3.6
83,19930101150105,38.883666666666656,142.55066666666667,0.22,1.7000000000000002
84,19930101150157,38.98466666666667,142.51766666666668,0.99,1.4
85,19930101150314,38.86666666666667,142.55033333333338,2.44,2.9000000000000004
86,19930101153003,35.134166666666665,132.768,0.94,2.4000000000000004
87,19930101154613,38.98466666666667,142.45016666666666,3.95,0.9
88,19930101154633,35.88483333333333,140.48466666666664,4.48,3.2
89,19930101154716,23.58483333333333,122.201,0.75,2.4000000000000004
90,19930101155253,38.9,142.5505,2.38,3.1
91,19930101155613,35.8845,140.501,4.45,1.6
92,19930101160610,38.9345,142.4848333333333,0.3,1.5
